@RELATION UP_DOWN
@ATTRIBUTE  class {UP,DOWN}
@ATTRIBUTE 0.0 numeric
@ATTRIBUTE 6.75675675676 numeric
@ATTRIBUTE 13.5135135135 numeric
@ATTRIBUTE 20.2702702703 numeric
@ATTRIBUTE 27.027027027 numeric
@ATTRIBUTE 33.7837837838 numeric
@ATTRIBUTE 40.5405405405 numeric
@ATTRIBUTE 47.2972972973 numeric
@ATTRIBUTE 54.0540540541 numeric
@ATTRIBUTE 60.8108108108 numeric
@ATTRIBUTE 67.5675675676 numeric
@ATTRIBUTE 74.3243243243 numeric
@ATTRIBUTE 81.0810810811 numeric
@ATTRIBUTE 87.8378378378 numeric
@ATTRIBUTE 94.5945945946 numeric
@ATTRIBUTE 101.351351351 numeric
@ATTRIBUTE 108.108108108 numeric
@ATTRIBUTE 114.864864865 numeric
@ATTRIBUTE 121.621621622 numeric
@ATTRIBUTE 128.378378378 numeric
@ATTRIBUTE 135.135135135 numeric
@ATTRIBUTE 141.891891892 numeric
@ATTRIBUTE 148.648648649 numeric
@ATTRIBUTE 155.405405405 numeric
@ATTRIBUTE 162.162162162 numeric
@ATTRIBUTE 168.918918919 numeric
@ATTRIBUTE 175.675675676 numeric
@ATTRIBUTE 182.432432432 numeric
@ATTRIBUTE 189.189189189 numeric
@ATTRIBUTE 195.945945946 numeric
@ATTRIBUTE 202.702702703 numeric
@ATTRIBUTE 209.459459459 numeric
@ATTRIBUTE 216.216216216 numeric
@ATTRIBUTE 222.972972973 numeric
@ATTRIBUTE 229.72972973 numeric
@ATTRIBUTE 236.486486486 numeric
@ATTRIBUTE 243.243243243 numeric
@ATTRIBUTE 250.0 numeric
@ATTRIBUTE 256.756756757 numeric
@ATTRIBUTE 263.513513514 numeric
@ATTRIBUTE 270.27027027 numeric
@ATTRIBUTE 277.027027027 numeric
@ATTRIBUTE 283.783783784 numeric
@ATTRIBUTE 290.540540541 numeric
@ATTRIBUTE 297.297297297 numeric
@ATTRIBUTE 304.054054054 numeric
@ATTRIBUTE 310.810810811 numeric
@ATTRIBUTE 317.567567568 numeric
@ATTRIBUTE 324.324324324 numeric
@ATTRIBUTE 331.081081081 numeric
@ATTRIBUTE 337.837837838 numeric
@ATTRIBUTE 344.594594595 numeric
@ATTRIBUTE 351.351351351 numeric
@ATTRIBUTE 358.108108108 numeric
@ATTRIBUTE 364.864864865 numeric
@ATTRIBUTE 371.621621622 numeric
@ATTRIBUTE 378.378378378 numeric
@ATTRIBUTE 385.135135135 numeric
@ATTRIBUTE 391.891891892 numeric
@ATTRIBUTE 398.648648649 numeric
@ATTRIBUTE 405.405405405 numeric
@ATTRIBUTE 412.162162162 numeric
@ATTRIBUTE 418.918918919 numeric
@ATTRIBUTE 425.675675676 numeric
@ATTRIBUTE 432.432432432 numeric
@ATTRIBUTE 439.189189189 numeric
@ATTRIBUTE 445.945945946 numeric
@ATTRIBUTE 452.702702703 numeric
@ATTRIBUTE 459.459459459 numeric
@ATTRIBUTE 466.216216216 numeric
@ATTRIBUTE 472.972972973 numeric
@ATTRIBUTE 479.72972973 numeric
@ATTRIBUTE 486.486486486 numeric
@ATTRIBUTE 493.243243243 numeric
@DATA
DOWN ,    28.709,    24.390,    14.190,     6.442,     7.898,     7.962,     3.982,     0.781,     3.657,     2.718,     0.568,     1.079,     2.186,     1.685,     0.443,     0.441,     1.081,     0.339,     0.435,     0.575,     0.287,     0.246,     0.371,     0.212,     0.167,     0.207,     0.074,     0.064,     0.125,     0.039,     0.116,     0.149,     0.067,     0.161,     0.164,     0.070,     0.077,     0.110,     0.050,     0.068,     0.042,     0.076,     0.126,     0.098,     0.071,     0.060,     0.086,     0.022,     0.042,     0.127,     0.033,     0.112,     0.098,     0.057,     0.029,     0.102,     0.080,     0.036,     0.030,     0.034,     0.051,     0.090,     0.016,     0.032,     0.020,     0.070,     0.085,     0.043,     0.084,     0.019,     0.111,     0.004,     0.033,     0.024
UP ,    46.467,    43.766,    42.515,    31.948,    16.341,     9.384,     8.408,     6.705,     4.022,     3.170,     1.663,     0.657,     0.797,     3.264,     2.245,     2.518,     2.050,     2.131,     1.853,     0.906,     0.521,     1.243,     0.557,     0.900,     1.494,     0.130,     0.487,     0.708,     0.245,     0.858,     0.160,     0.301,     0.365,     0.705,     0.446,     0.591,     0.330,     0.796,     0.031,     0.593,     0.447,     0.459,     0.460,     0.203,     0.606,     0.145,     0.549,     0.226,     0.401,     0.446,     0.138,     0.386,     0.358,     0.338,     0.438,     0.081,     0.173,     0.466,     0.483,     0.398,     0.205,     0.373,     0.412,     0.390,     0.233,     0.734,     0.362,     0.175,     0.358,     0.371,     0.227,     0.364,     0.062,     0.596
DOWN ,    77.561,    95.358,    68.027,    42.520,    31.491,    21.959,    18.497,    15.616,     8.895,     8.108,     5.577,     4.527,     4.354,     2.055,     1.710,     1.396,     0.255,     1.356,     1.188,     0.406,     1.341,     0.668,     0.597,     0.944,     0.294,     0.640,     0.615,     0.239,     0.709,     0.537,     0.419,     0.715,     0.126,     0.729,     0.499,     0.506,     0.717,     0.161,     0.569,     0.427,     0.167,     0.523,     0.185,     0.421,     0.398,     0.186,     0.590,     0.220,     0.304,     0.454,     0.179,     0.334,     0.098,     0.321,     0.369,     0.102,     0.382,     0.233,     0.244,     0.284,     0.182,     0.246,     0.286,     0.226,     0.119,     0.191,     0.309,     0.177,     0.124,     0.252,     0.311,     0.284,     0.114,     0.257
UP ,    80.062,    79.255,    59.429,    35.539,    16.639,     6.906,     6.906,     6.793,     8.797,     6.688,     5.012,     4.711,     3.792,     4.051,     2.701,     3.557,     2.071,     3.136,     3.095,     2.206,     1.493,     0.810,     1.697,     1.261,     1.847,     1.480,     1.261,     0.819,     0.812,     0.806,     0.686,     0.959,     0.637,     0.721,     0.199,     0.622,     0.248,     0.325,     0.256,     0.431,     0.305,     0.537,     0.586,     0.209,     0.318,     0.344,     0.377,     0.382,     0.526,     0.240,     0.422,     0.464,     0.143,     0.525,     0.487,     0.311,     0.135,     0.171,     0.082,     0.371,     0.075,     0.017,     0.279,     0.192,     0.341,     0.569,     0.449,     0.190,     0.090,     0.376,     0.319,     0.417,     0.065,     0.504
DOWN ,    79.294,    88.804,    66.574,    51.994,    42.983,    33.004,    23.209,    17.957,    10.605,     7.865,     7.885,     4.106,     2.704,     2.811,     1.869,     1.895,     1.625,     0.732,     0.547,     0.412,     0.194,     0.152,     0.292,     0.098,     0.109,     0.303,     0.168,     0.147,     0.276,     0.262,     0.185,     0.147,     0.102,     0.070,     0.053,     0.205,     0.076,     0.097,     0.192,     0.093,     0.118,     0.145,     0.014,     0.119,     0.133,     0.118,     0.115,     0.215,     0.164,     0.150,     0.203,     0.133,     0.089,     0.098,     0.118,     0.196,     0.174,     0.117,     0.020,     0.055,     0.154,     0.075,     0.202,     0.052,     0.049,     0.052,     0.081,     0.125,     0.098,     0.084,     0.133,     0.089,     0.233,     0.122
UP ,    82.981,    57.629,    35.193,    33.198,    25.119,    17.974,    13.576,    11.529,     9.842,     9.500,     9.144,     7.244,     6.212,     5.099,     3.889,     3.837,     2.955,     3.022,     3.396,     3.304,     3.463,     2.689,     2.077,     1.527,     1.206,     1.685,     1.355,     0.947,     1.058,     1.100,     0.699,     0.710,     0.519,     0.605,     0.369,     0.341,     0.618,     0.488,     0.703,     0.464,     0.454,     0.168,     0.258,     0.488,     0.470,     0.364,     0.282,     0.362,     0.213,     0.267,     0.519,     0.488,     0.176,     0.350,     0.398,     0.341,     0.271,     0.281,     0.027,     0.264,     0.396,     0.302,     0.089,     0.141,     0.152,     0.229,     0.190,     0.234,     0.288,     0.181,     0.213,     0.464,     0.163,     0.219
DOWN ,    70.284,   103.861,   100.122,    84.043,    66.639,    50.940,    36.566,    24.195,    16.841,    13.691,    12.284,    10.522,     7.539,     5.027,     3.104,     2.069,     1.534,     1.388,     1.351,     0.582,     0.671,     1.028,     0.571,     0.494,     0.277,     0.422,     0.826,     0.719,     0.614,     0.565,     0.338,     0.246,     0.310,     0.468,     0.597,     0.343,     0.145,     0.177,     0.367,     0.468,     0.273,     0.222,     0.369,     0.180,     0.111,     0.055,     0.208,     0.361,     0.218,     0.081,     0.153,     0.083,     0.142,     0.095,     0.098,     0.196,     0.079,     0.082,     0.083,     0.073,     0.207,     0.138,     0.070,     0.062,     0.110,     0.077,     0.096,     0.081,     0.091,     0.098,     0.153,     0.142,     0.110,     0.043
