@RELATION UP_DOWN
@ATTRIBUTE  class {UP,DOWN}
@ATTRIBUTE 0.0 numeric
@ATTRIBUTE 6.75675675676 numeric
@ATTRIBUTE 13.5135135135 numeric
@ATTRIBUTE 20.2702702703 numeric
@ATTRIBUTE 27.027027027 numeric
@ATTRIBUTE 33.7837837838 numeric
@ATTRIBUTE 40.5405405405 numeric
@ATTRIBUTE 47.2972972973 numeric
@ATTRIBUTE 54.0540540541 numeric
@ATTRIBUTE 60.8108108108 numeric
@ATTRIBUTE 67.5675675676 numeric
@ATTRIBUTE 74.3243243243 numeric
@ATTRIBUTE 81.0810810811 numeric
@ATTRIBUTE 87.8378378378 numeric
@ATTRIBUTE 94.5945945946 numeric
@ATTRIBUTE 101.351351351 numeric
@ATTRIBUTE 108.108108108 numeric
@ATTRIBUTE 114.864864865 numeric
@ATTRIBUTE 121.621621622 numeric
@ATTRIBUTE 128.378378378 numeric
@ATTRIBUTE 135.135135135 numeric
@ATTRIBUTE 141.891891892 numeric
@ATTRIBUTE 148.648648649 numeric
@ATTRIBUTE 155.405405405 numeric
@ATTRIBUTE 162.162162162 numeric
@ATTRIBUTE 168.918918919 numeric
@ATTRIBUTE 175.675675676 numeric
@ATTRIBUTE 182.432432432 numeric
@ATTRIBUTE 189.189189189 numeric
@ATTRIBUTE 195.945945946 numeric
@ATTRIBUTE 202.702702703 numeric
@ATTRIBUTE 209.459459459 numeric
@ATTRIBUTE 216.216216216 numeric
@ATTRIBUTE 222.972972973 numeric
@ATTRIBUTE 229.72972973 numeric
@ATTRIBUTE 236.486486486 numeric
@ATTRIBUTE 243.243243243 numeric
@ATTRIBUTE 250.0 numeric
@ATTRIBUTE 256.756756757 numeric
@ATTRIBUTE 263.513513514 numeric
@ATTRIBUTE 270.27027027 numeric
@ATTRIBUTE 277.027027027 numeric
@ATTRIBUTE 283.783783784 numeric
@ATTRIBUTE 290.540540541 numeric
@ATTRIBUTE 297.297297297 numeric
@ATTRIBUTE 304.054054054 numeric
@ATTRIBUTE 310.810810811 numeric
@ATTRIBUTE 317.567567568 numeric
@ATTRIBUTE 324.324324324 numeric
@ATTRIBUTE 331.081081081 numeric
@ATTRIBUTE 337.837837838 numeric
@ATTRIBUTE 344.594594595 numeric
@ATTRIBUTE 351.351351351 numeric
@ATTRIBUTE 358.108108108 numeric
@ATTRIBUTE 364.864864865 numeric
@ATTRIBUTE 371.621621622 numeric
@ATTRIBUTE 378.378378378 numeric
@ATTRIBUTE 385.135135135 numeric
@ATTRIBUTE 391.891891892 numeric
@ATTRIBUTE 398.648648649 numeric
@ATTRIBUTE 405.405405405 numeric
@ATTRIBUTE 412.162162162 numeric
@ATTRIBUTE 418.918918919 numeric
@ATTRIBUTE 425.675675676 numeric
@ATTRIBUTE 432.432432432 numeric
@ATTRIBUTE 439.189189189 numeric
@ATTRIBUTE 445.945945946 numeric
@ATTRIBUTE 452.702702703 numeric
@ATTRIBUTE 459.459459459 numeric
@ATTRIBUTE 466.216216216 numeric
@ATTRIBUTE 472.972972973 numeric
@ATTRIBUTE 479.72972973 numeric
@ATTRIBUTE 486.486486486 numeric
@ATTRIBUTE 493.243243243 numeric
@DATA
UP ,    28.688,    15.458,    10.574,    15.603,    21.740,    19.106,    15.316,    10.254,     9.000,     9.461,     8.794,     7.364,     4.512,     3.664,     3.240,     3.688,     2.897,     2.328,     2.378,     2.480,     2.875,     2.955,     2.731,     2.198,     1.956,     2.098,     2.329,     2.009,     1.546,     1.180,     1.154,     1.472,     1.287,     0.825,     0.531,     0.699,     0.707,     0.640,     0.768,     0.755,     0.676,     0.760,     0.518,     0.644,     0.503,     0.414,     0.470,     0.892,     0.814,     0.977,     0.915,     0.625,     0.390,     0.333,     0.622,     0.857,     0.649,     0.652,     0.425,     0.204,     0.461,     0.517,     0.616,     0.527,     0.439,     0.518,     0.282,     0.313,     0.390,     0.510,     0.373,     0.203,     0.466,     0.729
UP ,    25.341,    23.632,    21.120,    21.937,    21.378,    16.814,    12.216,     8.883,     8.776,     7.271,     4.866,     2.363,     1.978,     2.673,     3.214,     3.268,     3.836,     3.276,     2.818,     3.300,     3.712,     3.806,     2.701,     1.482,     1.371,     1.701,     1.548,     1.045,     1.101,     1.219,     1.090,     0.881,     0.854,     1.056,     0.981,     0.758,     0.824,     1.009,     0.910,     0.583,     0.305,     0.625,     0.887,     0.733,     0.476,     0.599,     0.507,     0.364,     0.309,     0.415,     0.458,     0.223,     0.106,     0.263,     0.457,     0.501,     0.147,     0.333,     0.577,     0.453,     0.282,     0.208,     0.293,     0.390,     0.338,     0.295,     0.129,     0.116,     0.329,     0.268,     0.298,     0.291,     0.313,     0.212
UP ,    27.267,    20.975,    17.811,    18.974,    19.218,    15.014,    11.108,     8.824,     8.605,     7.006,     3.613,     2.789,     2.656,     2.680,     1.409,     0.910,     1.528,     1.833,     1.363,     0.837,     1.539,     2.212,     1.787,     1.043,     1.025,     1.464,     1.424,     0.809,     0.558,     1.043,     1.055,     0.563,     0.555,     1.052,     1.176,     0.816,     0.240,     0.702,     1.000,     1.085,     0.576,     0.266,     0.517,     0.624,     0.424,     0.311,     0.572,     0.854,     0.597,     0.188,     0.206,     0.623,     0.451,     0.113,     0.065,     0.349,     0.264,     0.203,     0.329,     0.369,     0.315,     0.337,     0.304,     0.384,     0.408,     0.501,     0.627,     0.626,     0.475,     0.365,     0.254,     0.184,     0.297,     0.437
UP ,    14.388,     9.884,    12.918,    17.601,    19.225,    17.311,    12.167,     6.598,     2.732,     1.607,     1.737,     1.339,     1.179,     1.814,     2.161,     1.990,     1.313,     0.522,     0.150,     0.586,     0.710,     0.968,     0.667,     0.422,     0.280,     0.204,     0.061,     0.238,     0.563,     0.647,     0.657,     0.494,     0.395,     0.272,     0.236,     0.209,     0.406,     0.665,     0.475,     0.378,     0.341,     0.378,     0.356,     0.249,     0.192,     0.207,     0.197,     0.093,     0.118,     0.295,     0.374,     0.292,     0.398,     0.388,     0.341,     0.256,     0.482,     0.477,     0.454,     0.310,     0.289,     0.251,     0.159,     0.035,     0.045,     0.065,     0.158,     0.028,     0.125,     0.090,     0.223,     0.406,     0.353,     0.380
UP ,     8.605,    14.747,    15.537,    12.575,    12.692,    11.240,    10.147,     7.290,     4.736,     2.915,     2.029,     2.493,     2.641,     2.557,     2.524,     2.372,     2.367,     2.145,     1.529,     1.061,     0.588,     0.604,     0.708,     0.843,     0.663,     0.341,     0.481,     0.340,     0.520,     0.380,     0.354,     0.186,     0.155,     0.204,     0.345,     0.222,     0.181,     0.144,     0.018,     0.119,     0.089,     0.215,     0.183,     0.165,     0.248,     0.081,     0.133,     0.050,     0.082,     0.116,     0.127,     0.178,     0.173,     0.263,     0.299,     0.214,     0.134,     0.046,     0.044,     0.179,     0.226,     0.216,     0.046,     0.263,     0.246,     0.341,     0.273,     0.274,     0.211,     0.163,     0.224,     0.272,     0.224,     0.189
UP ,    17.589,    20.055,    19.796,    18.566,    14.978,    10.147,     6.786,     5.528,     4.059,     2.501,     2.101,     2.344,     2.660,     2.489,     1.991,     1.396,     1.040,     0.761,     0.472,     0.425,     0.166,     0.348,     0.564,     0.741,     0.648,     0.697,     0.598,     0.299,     0.111,     0.175,     0.413,     0.552,     0.330,     0.331,     0.622,     0.765,     0.615,     0.314,     0.073,     0.218,     0.274,     0.509,     0.514,     0.514,     0.442,     0.230,     0.112,     0.251,     0.196,     0.199,     0.135,     0.246,     0.373,     0.232,     0.206,     0.266,     0.117,     0.205,     0.206,     0.143,     0.221,     0.126,     0.026,     0.078,     0.238,     0.439,     0.594,     0.534,     0.537,     0.484,     0.312,     0.331,     0.196,     0.425
UP ,     8.132,    14.938,    15.958,    14.391,    12.122,     9.169,     7.147,     5.208,     3.599,     1.824,     0.778,     0.502,     0.612,     0.859,     0.733,     0.605,     0.344,     0.328,     0.235,     0.264,     0.289,     0.441,     0.353,     0.372,     0.074,     0.104,     0.323,     0.263,     0.311,     0.435,     0.255,     0.359,     0.266,     0.108,     0.570,     0.327,     0.193,     0.370,     0.515,     0.455,     0.426,     0.260,     0.334,     0.456,     0.377,     0.259,     0.232,     0.177,     0.152,     0.250,     0.340,     0.604,     0.506,     0.644,     0.488,     0.446,     0.537,     0.209,     0.497,     0.085,     0.089,     0.197,     0.223,     0.036,     0.114,     0.126,     0.421,     0.186,     0.259,     0.367,     0.208,     0.263,     0.047,     0.055
UP ,     7.728,    12.303,    12.709,    12.113,    10.151,     7.479,     6.839,     5.181,     3.559,     2.340,     1.185,     0.486,     0.531,     0.608,     0.643,     0.790,     1.082,     1.183,     1.403,     1.248,     1.048,     0.575,     0.165,     0.207,     0.274,     0.335,     0.267,     0.303,     0.216,     0.288,     0.166,     0.101,     0.096,     0.282,     0.293,     0.460,     0.599,     0.701,     0.312,     0.125,     0.125,     0.397,     0.361,     0.498,     0.410,     0.383,     0.360,     0.399,     0.293,     0.319,     0.372,     0.249,     0.298,     0.326,     0.327,     0.271,     0.202,     0.207,     0.312,     0.151,     0.204,     0.155,     0.144,     0.086,     0.119,     0.074,     0.118,     0.116,     0.063,     0.118,     0.199,     0.178,     0.177,     0.210
UP ,     5.689,    10.800,    13.860,    12.492,     9.236,     6.371,     6.819,     6.477,     4.595,     2.324,     0.750,     1.053,     1.274,     1.535,     1.709,     2.014,     1.695,     1.515,     1.135,     0.841,     0.416,     0.495,     0.866,     0.856,     0.314,     0.515,     0.437,     0.370,     0.419,     0.331,     0.279,     0.160,     0.459,     0.154,     0.283,     0.266,     0.206,     0.443,     0.259,     0.172,     0.203,     0.374,     0.319,     0.321,     0.264,     0.334,     0.351,     0.665,     0.772,     0.947,     0.749,     0.509,     0.573,     0.094,     0.193,     0.142,     0.644,     0.411,     0.339,     0.400,     0.401,     0.267,     0.284,     0.218,     0.146,     0.320,     0.264,     0.318,     0.107,     0.412,     0.191,     0.323,     0.252,     0.184
UP ,     3.316,     5.053,     8.915,    10.001,    10.224,    10.276,    10.326,     9.437,     7.782,     5.625,     3.653,     2.280,     0.886,     0.159,     0.497,     0.264,     0.359,     0.454,     0.537,     0.260,     0.142,     0.362,     0.331,     0.199,     0.328,     0.235,     0.135,     0.299,     0.236,     0.206,     0.228,     0.450,     0.407,     0.786,     0.552,     0.497,     0.304,     0.136,     0.039,     0.058,     0.184,     0.362,     0.401,     0.463,     0.474,     0.165,     0.658,     0.339,     0.443,     0.096,     0.181,     0.215,     0.268,     0.375,     0.449,     0.443,     0.356,     0.108,     0.237,     0.065,     0.177,     0.023,     0.212,     0.211,     0.219,     0.181,     0.182,     0.347,     0.235,     0.487,     0.262,     0.336,     0.420,     0.235
