@RELATION UP_DOWN
@ATTRIBUTE  class {UP,DOWN}
@ATTRIBUTE 0.0 numeric
@ATTRIBUTE 6.75675675676 numeric
@ATTRIBUTE 13.5135135135 numeric
@ATTRIBUTE 20.2702702703 numeric
@ATTRIBUTE 27.027027027 numeric
@ATTRIBUTE 33.7837837838 numeric
@ATTRIBUTE 40.5405405405 numeric
@ATTRIBUTE 47.2972972973 numeric
@ATTRIBUTE 54.0540540541 numeric
@ATTRIBUTE 60.8108108108 numeric
@ATTRIBUTE 67.5675675676 numeric
@ATTRIBUTE 74.3243243243 numeric
@ATTRIBUTE 81.0810810811 numeric
@ATTRIBUTE 87.8378378378 numeric
@ATTRIBUTE 94.5945945946 numeric
@ATTRIBUTE 101.351351351 numeric
@ATTRIBUTE 108.108108108 numeric
@ATTRIBUTE 114.864864865 numeric
@ATTRIBUTE 121.621621622 numeric
@ATTRIBUTE 128.378378378 numeric
@ATTRIBUTE 135.135135135 numeric
@ATTRIBUTE 141.891891892 numeric
@ATTRIBUTE 148.648648649 numeric
@ATTRIBUTE 155.405405405 numeric
@ATTRIBUTE 162.162162162 numeric
@ATTRIBUTE 168.918918919 numeric
@ATTRIBUTE 175.675675676 numeric
@ATTRIBUTE 182.432432432 numeric
@ATTRIBUTE 189.189189189 numeric
@ATTRIBUTE 195.945945946 numeric
@ATTRIBUTE 202.702702703 numeric
@ATTRIBUTE 209.459459459 numeric
@ATTRIBUTE 216.216216216 numeric
@ATTRIBUTE 222.972972973 numeric
@ATTRIBUTE 229.72972973 numeric
@ATTRIBUTE 236.486486486 numeric
@ATTRIBUTE 243.243243243 numeric
@ATTRIBUTE 250.0 numeric
@ATTRIBUTE 256.756756757 numeric
@ATTRIBUTE 263.513513514 numeric
@ATTRIBUTE 270.27027027 numeric
@ATTRIBUTE 277.027027027 numeric
@ATTRIBUTE 283.783783784 numeric
@ATTRIBUTE 290.540540541 numeric
@ATTRIBUTE 297.297297297 numeric
@ATTRIBUTE 304.054054054 numeric
@ATTRIBUTE 310.810810811 numeric
@ATTRIBUTE 317.567567568 numeric
@ATTRIBUTE 324.324324324 numeric
@ATTRIBUTE 331.081081081 numeric
@ATTRIBUTE 337.837837838 numeric
@ATTRIBUTE 344.594594595 numeric
@ATTRIBUTE 351.351351351 numeric
@ATTRIBUTE 358.108108108 numeric
@ATTRIBUTE 364.864864865 numeric
@ATTRIBUTE 371.621621622 numeric
@ATTRIBUTE 378.378378378 numeric
@ATTRIBUTE 385.135135135 numeric
@ATTRIBUTE 391.891891892 numeric
@ATTRIBUTE 398.648648649 numeric
@ATTRIBUTE 405.405405405 numeric
@ATTRIBUTE 412.162162162 numeric
@ATTRIBUTE 418.918918919 numeric
@ATTRIBUTE 425.675675676 numeric
@ATTRIBUTE 432.432432432 numeric
@ATTRIBUTE 439.189189189 numeric
@ATTRIBUTE 445.945945946 numeric
@ATTRIBUTE 452.702702703 numeric
@ATTRIBUTE 459.459459459 numeric
@ATTRIBUTE 466.216216216 numeric
@ATTRIBUTE 472.972972973 numeric
@ATTRIBUTE 479.72972973 numeric
@ATTRIBUTE 486.486486486 numeric
@ATTRIBUTE 493.243243243 numeric
@DATA
UP ,     1.744,     2.072,     2.852,     1.802,     1.003,     1.107,     1.589,     0.535,     0.486,     0.248,     0.460,     0.527,     0.791,     0.691,     0.767,     0.353,     0.179,     0.299,     0.456,     0.399,     0.666,     0.343,     0.473,     0.122,     0.135,     0.226,     0.054,     0.276,     0.092,     0.232,     0.166,     0.193,     0.200,     0.068,     0.101,     0.131,     0.171,     0.173,     0.134,     0.098,     0.177,     0.042,     0.182,     0.273,     0.092,     0.052,     0.032,     0.110,     0.090,     0.074,     0.031,     0.090,     0.125,     0.106,     0.027,     0.213,     0.328,     0.225,     0.179,     0.346,     0.163,     0.071,     0.120,     0.118,     0.326,     0.339,     0.315,     0.574,     0.338,     0.219,     0.166,     0.104,     0.015,     0.067
DOWN ,     0.329,     3.100,     6.048,     7.204,     6.107,     4.656,     3.359,     2.161,     2.149,     2.004,     1.994,     1.361,     0.707,     0.351,     0.012,     0.262,     0.604,     0.585,     0.730,     0.994,     0.987,     1.027,     0.844,     0.962,     0.803,     0.446,     0.349,     0.435,     0.216,     0.311,     0.430,     0.276,     0.270,     0.340,     0.278,     0.304,     0.211,     0.118,     0.163,     0.117,     0.071,     0.058,     0.152,     0.114,     0.133,     0.132,     0.037,     0.103,     0.108,     0.183,     0.078,     0.116,     0.065,     0.140,     0.063,     0.102,     0.060,     0.096,     0.228,     0.148,     0.079,     0.089,     0.104,     0.108,     0.155,     0.061,     0.122,     0.044,     0.170,     0.029,     0.124,     0.116,     0.075,     0.076
UP ,     4.611,     5.234,     3.983,     2.694,     2.063,     1.252,     0.467,     0.653,     0.232,     0.213,     0.376,     0.407,     0.516,     0.341,     0.331,     0.227,     0.472,     0.449,     0.236,     0.027,     0.198,     0.225,     0.281,     0.108,     0.247,     0.151,     0.022,     0.070,     0.120,     0.175,     0.202,     0.055,     0.165,     0.202,     0.145,     0.358,     0.180,     0.122,     0.086,     0.177,     0.170,     0.131,     0.112,     0.229,     0.223,     0.117,     0.179,     0.069,     0.181,     0.058,     0.062,     0.057,     0.089,     0.085,     0.064,     0.027,     0.108,     0.191,     0.165,     0.147,     0.086,     0.081,     0.050,     0.122,     0.187,     0.130,     0.074,     0.193,     0.080,     0.138,     0.120,     0.085,     0.098,     0.176
DOWN ,     0.416,     3.164,     6.100,     7.440,     7.366,     5.952,     4.808,     2.994,     1.649,     0.943,     1.060,     1.039,     0.976,     0.925,     0.799,     0.502,     0.545,     0.361,     0.461,     0.472,     0.733,     0.711,     0.602,     0.519,     0.388,     0.314,     0.146,     0.181,     0.195,     0.315,     0.270,     0.456,     0.415,     0.359,     0.284,     0.382,     0.282,     0.262,     0.223,     0.086,     0.141,     0.045,     0.093,     0.122,     0.039,     0.086,     0.122,     0.032,     0.096,     0.058,     0.062,     0.182,     0.068,     0.109,     0.136,     0.149,     0.089,     0.111,     0.111,     0.090,     0.121,     0.081,     0.064,     0.169,     0.185,     0.175,     0.101,     0.048,     0.276,     0.116,     0.152,     0.153,     0.127,     0.178
UP ,     3.381,     4.084,     1.520,     2.026,     1.118,     0.390,     0.953,     0.758,     0.983,     1.038,     1.083,     0.893,     0.570,     0.127,     0.181,     0.403,     0.116,     0.386,     0.234,     0.182,     0.096,     0.138,     0.191,     0.245,     0.133,     0.002,     0.092,     0.151,     0.243,     0.072,     0.132,     0.300,     0.225,     0.159,     0.269,     0.235,     0.156,     0.125,     0.170,     0.144,     0.074,     0.041,     0.161,     0.185,     0.224,     0.174,     0.133,     0.141,     0.113,     0.116,     0.109,     0.123,     0.143,     0.123,     0.155,     0.198,     0.083,     0.094,     0.091,     0.083,     0.099,     0.062,     0.046,     0.126,     0.131,     0.081,     0.092,     0.124,     0.097,     0.258,     0.190,     0.218,     0.112,     0.024
DOWN ,     1.199,     4.683,     7.467,     7.800,     7.736,     7.267,     6.127,     5.356,     4.149,     2.892,     1.353,     0.592,     0.604,     0.953,     1.024,     1.102,     1.684,     1.575,     1.454,     1.106,     0.712,     0.662,     0.689,     0.655,     0.550,     0.752,     0.674,     0.687,     0.541,     0.524,     0.422,     0.336,     0.416,     0.422,     0.416,     0.444,     0.330,     0.310,     0.167,     0.291,     0.269,     0.251,     0.317,     0.239,     0.164,     0.206,     0.102,     0.020,     0.087,     0.240,     0.119,     0.196,     0.010,     0.055,     0.260,     0.050,     0.194,     0.194,     0.102,     0.174,     0.246,     0.100,     0.036,     0.025,     0.095,     0.064,     0.084,     0.076,     0.105,     0.096,     0.116,     0.008,     0.082,     0.105
UP ,     4.082,     5.204,     4.415,     3.725,     3.727,     3.087,     2.405,     1.271,     0.125,     0.349,     0.462,     0.251,     0.380,     0.492,     0.625,     0.620,     0.451,     0.563,     0.526,     0.255,     0.110,     0.458,     0.476,     0.502,     0.486,     0.317,     0.232,     0.216,     0.365,     0.290,     0.173,     0.263,     0.083,     0.194,     0.169,     0.160,     0.106,     0.203,     0.159,     0.143,     0.104,     0.020,     0.229,     0.007,     0.131,     0.081,     0.111,     0.020,     0.250,     0.243,     0.087,     0.037,     0.055,     0.087,     0.072,     0.127,     0.108,     0.172,     0.054,     0.029,     0.122,     0.049,     0.066,     0.161,     0.214,     0.157,     0.178,     0.171,     0.181,     0.113,     0.100,     0.024,     0.163,     0.080
DOWN ,     1.773,     4.911,     4.608,     3.950,     4.115,     3.799,     3.020,     2.377,     2.156,     2.228,     1.786,     1.448,     1.583,     1.526,     1.609,     1.339,     1.101,     0.910,     0.825,     1.034,     1.205,     1.339,     1.165,     0.571,     0.144,     0.039,     0.448,     0.649,     0.460,     0.579,     0.519,     0.538,     0.442,     0.254,     0.229,     0.163,     0.084,     0.179,     0.161,     0.232,     0.369,     0.267,     0.215,     0.147,     0.136,     0.125,     0.201,     0.077,     0.061,     0.101,     0.078,     0.092,     0.180,     0.088,     0.123,     0.156,     0.138,     0.059,     0.175,     0.102,     0.147,     0.019,     0.148,     0.151,     0.086,     0.196,     0.165,     0.061,     0.059,     0.122,     0.102,     0.050,     0.180,     0.196
UP ,     4.397,     4.893,     3.649,     1.564,     2.766,     1.321,     1.320,     1.217,     0.665,     0.415,     1.040,     0.344,     0.354,     0.327,     0.114,     0.459,     0.519,     0.883,     0.594,     0.844,     0.453,     0.219,     0.199,     0.322,     0.487,     0.068,     0.167,     0.085,     0.135,     0.218,     0.254,     0.135,     0.110,     0.107,     0.165,     0.127,     0.097,     0.235,     0.199,     0.117,     0.059,     0.034,     0.249,     0.209,     0.140,     0.132,     0.150,     0.148,     0.184,     0.093,     0.176,     0.134,     0.051,     0.077,     0.119,     0.136,     0.119,     0.262,     0.072,     0.233,     0.117,     0.035,     0.125,     0.204,     0.152,     0.081,     0.286,     0.364,     0.176,     0.183,     0.125,     0.196,     0.079,     0.053
DOWN ,     0.447,     4.517,     6.105,     6.484,     4.935,     4.481,     4.111,     3.405,     4.663,     4.416,     4.283,     3.864,     3.069,     2.575,     1.626,     0.389,     0.089,     0.452,     0.633,     0.749,     1.104,     1.055,     0.861,     0.470,     0.551,     0.459,     0.573,     0.469,     0.500,     0.489,     0.340,     0.371,     0.226,     0.263,     0.370,     0.169,     0.194,     0.182,     0.252,     0.211,     0.022,     0.213,     0.214,     0.209,     0.024,     0.082,     0.035,     0.063,     0.026,     0.192,     0.040,     0.099,     0.140,     0.070,     0.036,     0.157,     0.131,     0.100,     0.128,     0.187,     0.237,     0.091,     0.087,     0.139,     0.119,     0.067,     0.119,     0.166,     0.057,     0.239,     0.196,     0.205,     0.155,     0.201
