@RELATION UP_DOWN
@ATTRIBUTE  class {UP,DOWN}
@ATTRIBUTE 0.0 numeric
@ATTRIBUTE 8.47457627119 numeric
@ATTRIBUTE 16.9491525424 numeric
@ATTRIBUTE 25.4237288136 numeric
@ATTRIBUTE 33.8983050847 numeric
@ATTRIBUTE 42.3728813559 numeric
@ATTRIBUTE 50.8474576271 numeric
@ATTRIBUTE 59.3220338983 numeric
@ATTRIBUTE 67.7966101695 numeric
@ATTRIBUTE 76.2711864407 numeric
@ATTRIBUTE 84.7457627119 numeric
@ATTRIBUTE 93.2203389831 numeric
@ATTRIBUTE 101.694915254 numeric
@ATTRIBUTE 110.169491525 numeric
@ATTRIBUTE 118.644067797 numeric
@ATTRIBUTE 127.118644068 numeric
@ATTRIBUTE 135.593220339 numeric
@ATTRIBUTE 144.06779661 numeric
@ATTRIBUTE 152.542372881 numeric
@ATTRIBUTE 161.016949153 numeric
@ATTRIBUTE 169.491525424 numeric
@ATTRIBUTE 177.966101695 numeric
@ATTRIBUTE 186.440677966 numeric
@ATTRIBUTE 194.915254237 numeric
@ATTRIBUTE 203.389830508 numeric
@ATTRIBUTE 211.86440678 numeric
@ATTRIBUTE 220.338983051 numeric
@ATTRIBUTE 228.813559322 numeric
@ATTRIBUTE 237.288135593 numeric
@ATTRIBUTE 245.762711864 numeric
@ATTRIBUTE 254.237288136 numeric
@ATTRIBUTE 262.711864407 numeric
@ATTRIBUTE 271.186440678 numeric
@ATTRIBUTE 279.661016949 numeric
@ATTRIBUTE 288.13559322 numeric
@ATTRIBUTE 296.610169492 numeric
@ATTRIBUTE 305.084745763 numeric
@ATTRIBUTE 313.559322034 numeric
@ATTRIBUTE 322.033898305 numeric
@ATTRIBUTE 330.508474576 numeric
@ATTRIBUTE 338.983050847 numeric
@ATTRIBUTE 347.457627119 numeric
@ATTRIBUTE 355.93220339 numeric
@ATTRIBUTE 364.406779661 numeric
@ATTRIBUTE 372.881355932 numeric
@ATTRIBUTE 381.355932203 numeric
@ATTRIBUTE 389.830508475 numeric
@ATTRIBUTE 398.305084746 numeric
@ATTRIBUTE 406.779661017 numeric
@ATTRIBUTE 415.254237288 numeric
@ATTRIBUTE 423.728813559 numeric
@ATTRIBUTE 432.203389831 numeric
@ATTRIBUTE 440.677966102 numeric
@ATTRIBUTE 449.152542373 numeric
@ATTRIBUTE 457.627118644 numeric
@ATTRIBUTE 466.101694915 numeric
@ATTRIBUTE 474.576271186 numeric
@ATTRIBUTE 483.050847458 numeric
@ATTRIBUTE 491.525423729 numeric
@DATA
UP ,    32.676,    23.538,    21.235,    17.022,     8.600,     6.519,     2.503,     1.855,     2.831,     2.276,     1.617,     1.233,     1.436,     1.508,     1.603,     1.353,     1.044,     0.859,     0.627,     0.389,     0.654,     0.489,     0.323,     0.127,     0.421,     0.416,     0.236,     0.149,     0.099,     0.317,     0.294,     0.308,     0.453,     0.184,     0.250,     0.122,     0.116,     0.144,     0.254,     0.449,     0.117,     0.153,     0.096,     0.152,     0.372,     0.300,     0.298,     0.131,     0.338,     0.281,     0.191,     0.230,     0.203,     0.210,     0.260,     0.297,     0.193,     0.447,     0.147
DOWN ,    68.898,    59.774,    41.666,    24.808,    14.765,     9.165,     5.070,     2.661,     1.343,     1.154,     1.337,     1.343,     1.038,     1.239,     1.673,     1.110,     0.115,     0.534,     0.475,     0.278,     0.229,     0.230,     0.239,     0.065,     0.116,     0.046,     0.157,     0.138,     0.286,     0.210,     0.263,     0.283,     0.167,     0.115,     0.128,     0.150,     0.142,     0.310,     0.122,     0.133,     0.111,     0.124,     0.199,     0.143,     0.094,     0.098,     0.157,     0.283,     0.147,     0.037,     0.044,     0.152,     0.091,     0.048,     0.117,     0.221,     0.228,     0.280,     0.260
UP ,    42.156,    39.133,    23.676,    13.354,     7.199,     4.366,     3.143,     2.183,     1.439,     1.493,     1.402,     1.144,     0.741,     0.531,     0.734,     0.974,     0.352,     0.146,     0.086,     0.274,     0.314,     0.192,     0.256,     0.152,     0.014,     0.111,     0.136,     0.011,     0.104,     0.114,     0.079,     0.084,     0.197,     0.148,     0.140,     0.097,     0.166,     0.005,     0.007,     0.128,     0.083,     0.109,     0.081,     0.034,     0.134,     0.162,     0.122,     0.087,     0.107,     0.012,     0.037,     0.058,     0.054,     0.086,     0.139,     0.179,     0.117,     0.098,     0.109
DOWN ,    54.973,    49.009,    33.728,    21.218,    13.715,     7.994,     4.461,     2.706,     1.803,     0.953,     0.775,     0.643,     0.354,     0.443,     1.045,     0.934,     0.544,     0.136,     0.205,     0.229,     0.124,     0.232,     0.204,     0.135,     0.191,     0.255,     0.114,     0.077,     0.109,     0.077,     0.147,     0.096,     0.040,     0.263,     0.137,     0.009,     0.144,     0.126,     0.168,     0.051,     0.192,     0.403,     0.276,     0.232,     0.150,     0.129,     0.022,     0.052,     0.095,     0.199,     0.076,     0.044,     0.175,     0.092,     0.104,     0.071,     0.212,     0.342,     0.097
UP ,    40.921,    40.089,    24.366,    15.843,     8.119,     4.757,     2.616,     1.930,     1.407,     1.335,     1.075,     0.961,     1.049,     1.309,     0.330,     0.504,     0.748,     0.610,     0.236,     0.364,     0.093,     0.054,     0.091,     0.039,     0.110,     0.135,     0.090,     0.098,     0.243,     0.137,     0.060,     0.154,     0.221,     0.075,     0.190,     0.063,     0.205,     0.184,     0.072,     0.087,     0.163,     0.073,     0.133,     0.128,     0.283,     0.041,     0.100,     0.121,     0.208,     0.103,     0.162,     0.225,     0.057,     0.181,     0.103,     0.101,     0.063,     0.107,     0.124
DOWN ,    59.257,    52.024,    35.715,    22.053,    12.796,     7.787,     4.673,     3.327,     2.813,     2.050,     1.695,     1.468,     1.310,     0.811,     0.115,     0.388,     0.408,     0.540,     0.453,     0.419,     0.220,     0.090,     0.255,     0.287,     0.065,     0.045,     0.038,     0.112,     0.195,     0.133,     0.267,     0.241,     0.187,     0.119,     0.094,     0.183,     0.223,     0.163,     0.164,     0.140,     0.122,     0.114,     0.056,     0.019,     0.145,     0.136,     0.042,     0.073,     0.212,     0.041,     0.116,     0.219,     0.212,     0.247,     0.379,     0.404,     0.282,     0.301,     0.203
UP ,    48.173,    39.874,    22.502,    13.274,     7.828,     6.358,     4.369,     3.410,     2.355,     1.210,     0.928,     0.749,     1.005,     1.255,     1.627,     0.705,     0.161,     0.723,     0.667,     0.440,     0.108,     0.374,     0.051,     0.203,     0.294,     0.149,     0.250,     0.084,     0.220,     0.253,     0.302,     0.147,     0.154,     0.123,     0.030,     0.211,     0.098,     0.151,     0.187,     0.056,     0.200,     0.212,     0.071,     0.251,     0.169,     0.166,     0.051,     0.177,     0.187,     0.117,     0.181,     0.188,     0.222,     0.034,     0.238,     0.195,     0.158,     0.247,     0.379
DOWN ,    63.207,    56.774,    35.204,    19.664,    11.335,     5.950,     2.907,     2.669,     1.832,     1.552,     2.419,     1.493,     0.617,     0.763,     1.567,     0.898,     0.818,     0.203,     0.412,     0.107,     0.262,     0.182,     0.112,     0.214,     0.157,     0.298,     0.058,     0.321,     0.234,     0.421,     0.254,     0.310,     0.094,     0.323,     0.191,     0.260,     0.214,     0.289,     0.271,     0.156,     0.205,     0.218,     0.110,     0.270,     0.155,     0.141,     0.103,     0.113,     0.165,     0.055,     0.306,     0.190,     0.420,     0.238,     0.325,     0.178,     0.273,     0.084,     0.170
UP ,    57.625,    42.148,    18.936,    16.561,    11.182,     4.517,     0.600,     2.666,     3.618,     3.026,     1.636,     1.397,     1.000,     0.986,     0.804,     0.989,     0.739,     0.693,     0.124,     0.099,     0.329,     0.033,     0.059,     0.148,     0.204,     0.140,     0.124,     0.308,     0.307,     0.103,     0.314,     0.262,     0.070,     0.076,     0.150,     0.169,     0.205,     0.055,     0.106,     0.240,     0.076,     0.165,     0.151,     0.192,     0.207,     0.072,     0.240,     0.230,     0.187,     0.070,     0.100,     0.128,     0.121,     0.110,     0.072,     0.110,     0.050,     0.142,     0.182
DOWN ,    70.748,    57.305,    33.942,    16.309,     6.938,     4.095,     3.317,     3.257,     2.870,     2.067,     1.579,     1.217,     0.661,     0.247,     0.606,     0.416,     0.218,     0.527,     0.226,     0.131,     0.293,     0.079,     0.181,     0.320,     0.095,     0.310,     0.316,     0.084,     0.200,     0.106,     0.118,     0.110,     0.088,     0.211,     0.124,     0.141,     0.223,     0.166,     0.170,     0.138,     0.101,     0.121,     0.024,     0.083,     0.231,     0.081,     0.211,     0.023,     0.054,     0.105,     0.087,     0.107,     0.182,     0.178,     0.175,     0.304,     0.262,     0.253,     0.224
